Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
BR.TO,Big Rock Brewery Inc.,Consumer Defensive,4.7098e-11,4.5982000000000003e-11,4.3984e-11
BIK-PA.TO,Bip Investment Corporation,Financial Services,,,
BIR.TO,Birchcliff Energy Ltd.,Energy,1.3589860000000003e-09,9.53128e-10,5.421920000000001e-10
BDT.TO,Bird Construction Inc.,Industrials,2.377549e-09,2.220026e-09,1.504432e-09
BITF.TO,Bitfarms Ltd.,Financial Services,1.42428e-10,1.69491e-10,3.4703e-11
BDI.TO,Black Diamond Group Limited,Industrials,3.24544e-10,3.3955e-10,1.79857e-10
BKI.TO,Black Iron Inc.,Basic Materials,0.0,0.0,0.0
BB.TO,BlackBerry Limited,Technology,6.56e-10,7.18e-10,8.93e-10
BLN.TO,Blackline Safety Corp.,Technology,1.00006e-10,7.2931e-11,5.4311999999999996e-11
GBT.TO,BMTC Group Inc.,Consumer Cyclical,7.17972e-10,8.194450000000001e-10,6.490560000000001e-10
BRMI.TO,Boat Rocker Media Inc.,Communication Services,3.04281e-10,5.80369e-10,2.26803e-10
BBD-B.TO,Bombardier Inc.,Industrials,6.913e-09,6.085e-09,6.487e-09
BNE.TO,Bonterra Energy Corp.,Energy,3.84197e-10,2.51616e-10,1.21642e-10
BLX.TO,Boralex Inc.,Utilities,8.36e-10,6.91e-10,6.33e-10
BYD.TO,Boyd Group Services Inc.,Consumer Cyclical,2.4323180000000003e-09,1.87267e-09,1.561224e-09
BRAG.TO,Bragg Gaming Group Inc.,Communication Services,8.4734e-11,5.8319e-11,4.6421e-11
BRY.TO,Bri-Chem Corp.,Energy,1.0451323e-10,6.0404605e-11,4.5155719e-11
BCT.TO,BriaCell Therapeutics Corp.,Healthcare,0.0,0.0,0.0
BRE.TO,Bridgemarq Real Estate Services Inc.,Real Estate,4.9871000000000007e-11,5.0201999999999996e-11,4.0339000000000004e-11
LCS.TO,Brompton Lifeco Split Corp.,Financial Services,-4.723341e-12,1.8774868000000002e-11,-1.3578911e-11
SBC.TO,Brompton Split Banc Corp.,Financial Services,-4.1687627e-11,1.01560748e-10,9.96714e-12
BAM.TO,Brookfield Asset Management Ltd.,Financial Services,0.0,2.7880000000000003e-09,2.2509999999999998e-09
BBUC.TO,Brookfield Business Corporation,Financial Services,1.0598e-08,9.649e-09,9.606e-09
BBU-UN.TO,Brookfield Business Partners L.P.,Industrials,5.7545e-08,4.6587000000000005e-08,3.7635e-08
BN.TO,Brookfield Corporation,Financial Services,9.2769e-08,7.5731e-08,6.2752e-08
BIPC.TO,Brookfield Infrastructure Corporation,Utilities,1.886e-09,1.643e-09,1.43e-09
BIP-UN.TO,Brookfield Infrastructure Partners L.P.,Utilities,1.4427e-08,1.1537000000000001e-08,8.885e-09
BPO-PX.TO,Brookfield Office Properties Inc.,Real Estate,,,
BPYPP,Brookfield Property Partners L.P.,Real Estate,7.365e-09,7.100000000000001e-09,6.593e-09
BNRE,Brookfield Reinsurance Ltd.,Financial Services,5.101e-09,7.241e-09,5.14e-10
BEPC.TO,Brookfield Renewable Corporation,Utilities,3.778e-09,3.367e-09,3.0869999999999998e-09
BEP-UN.TO,Brookfield Renewable Partners L.P.,Utilities,4.711e-09,4.096e-09,3.81e-09
BRF-PA.TO,Brookfield Renewable Power Preferred Equity Inc.,Utilities,4.711e-09,4.096e-09,3.81e-09
DOO.TO,BRP Inc.,Consumer Cyclical,1.00334e-08,7.6479e-09,5.9529e-09
BU.TO,Burcon NutraScience Corporation,Consumer Defensive,3.6391300000000003e-13,1.7147100000000002e-13,2.58646e-13
BK.TO,Canadian Banc Corp.,Financial Services,4.316201e-12,6.2628462e-11,-1.2674670000000001e-11
BABY.TO,Else Nutrition Holdings Inc.,Consumer Defensive,8.527e-12,4.6870000000000005e-12,1.482e-12
CAE.TO,CAE Inc.,Industrials,4.2033e-09,3.3713e-09,2.9819e-09
CWL.TO,The Caldwell Partners International Inc.,Industrials,1.56165e-10,1.19766e-10,5.8192999999999995e-11
CFW.TO,Calfrac Well Services Ltd.,Energy,1.4992200000000001e-09,8.80249e-10,7.054360000000001e-10
CGY.TO,Calian Group Ltd.,Industrials,6.58583e-10,5.821720000000001e-10,5.18404e-10
CXB.TO,Calibre Mining Corp.,Basic Materials,4.03072e-10,3.28132e-10,2.42748e-10
CCO.TO,Cameco Corporation,Energy,1.868003e-09,1.4749839999999998e-09,1.800073e-09
CF.TO,Canaccord Genuity Group Inc.,Financial Services,1.510397e-09,2.046002e-09,2.007688e-09
CNE.TO,Canacol Energy Ltd,Energy,3.3571100000000003e-10,3.10544e-10,2.78805e-10
