Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020,opcashflw_2023,opcashflw_2022,opcashflw_2021,total_assets_2023,total_assets_2022,total_assets_2021,equity_2023,equity_2022,equity_2021,liability_2023,liability_2022,liability_2021
TSAT.TO,Telesat Corporation,Technology,759169000.0,758212000.0,820468000.0,228848000.0,293497000.0,371683000.0,6479593000.0,6362451000.0,5581193000.0,1835702000.0,1696293000.0,1459936000.0,1835702000.0,1696293000.0,1459936000.0
T.TO,TELUS Corporation,Communication Services,18292000000.0,16838000000.0,15341000000.0,4811000000.0,4388000000.0,4574000000.0,54046000000.0,47983000000.0,43273000000.0,17658000000.0,16059000000.0,12568000000.0,17658000000.0,16059000000.0,12568000000.0
TIXT.TO,TELUS International (Cda) Inc.,Technology,2468000000.0,2194000000.0,1582000000.0,437000000.0,311000000.0,297000000.0,3556000000.0,3626000000.0,3695000000.0,1838000000.0,1655000000.0,1111000000.0,1838000000.0,1655000000.0,1111000000.0
TNZ.TO,Tenaz Energy Corp.,Energy,34087000.0,17830000.0,8615000.0,9347000.0,3945000.0,2406000.0,203901000.0,75401000.0,34439000.0,71371000.0,65315000.0,26570000.0,71371000.0,65315000.0,26570000.0
TGO.TO,TeraGo Inc.,Communication Services,27622000.0,43303000.0,45448000.0,1253000.0,9322000.0,13332000.0,55383000.0,93230000.0,103168000.0,29599000.0,40262000.0,40866000.0,29599000.0,40262000.0,40866000.0
TSND.TO,TerrAscend Corp.,Healthcare,247829000.0,194210000.0,132152000.0,-26123000.0,-31815000.0,-36971000.0,701587000.0,581935000.0,427244000.0,321171000.0,228954000.0,-13316000.0,321171000.0,228954000.0,-13316000.0
TVK.TO,TerraVest Industries Inc.,Energy,678350000.0,576704000.0,307463000.0,79242000.0,29948000.0,23064000.0,652915000.0,614523000.0,406338000.0,237743000.0,195917000.0,132059000.0,237743000.0,195917000.0,132059000.0
TFII.TO,TFI International Inc.,Industrials,8812491000.0,7220429000.0,3781134000.0,971645000.0,855351000.0,610862000.0,5505830000.0,5883663000.0,3847254000.0,2463070000.0,2310355000.0,1788612000.0,2463070000.0,2310355000.0,1788612000.0
TH.TO,Theratechnologies Inc.,Healthcare,80057000.0,69823000.0,66053000.0,-14692000.0,-17501000.0,-13554000.0,93260000.0,119212000.0,100142000.0,-22571000.0,17760000.0,3224000.0,-22571000.0,17760000.0,3224000.0
THNC.TO,Thinkific Labs Inc.,Technology,51476010.0,38116836.0,21069587.0,-25853392.0,-18255315.0,2633389.0,102970408.0,132404006.0,12936037.0,87848435.0,121613671.0,5309176.0,87848435.0,121613671.0,5309176.0
TRI.TO,Thomson Reuters Corporation,Industrials,6627000000.0,6348000000.0,5984000000.0,1915000000.0,1773000000.0,1745000000.0,21711000000.0,22149000000.0,17881000000.0,11885000000.0,13834000000.0,9980000000.0,11885000000.0,13834000000.0,9980000000.0
TWM.TO,Tidewater Midstream and Infrastructure Ltd.,Energy,2875200000.0,1698400000.0,979406000.0,242900000.0,126700000.0,205574000.0,2274600000.0,1970600000.0,1863655000.0,746300000.0,642700000.0,428729000.0,746300000.0,642700000.0,428729000.0
TF.TO,Timbercreek Financial Corp.,Financial Services,148306000.0,116572000.0,125698000.0,83171000.0,81613000.0,79390000.0,1916039000.0,1732064000.0,1711462000.0,698543000.0,684583000.0,685050000.0,698543000.0,684583000.0,685050000.0
TMD.TO,Titan Medical Inc.,Healthcare,0.0,20093000.0,20000000.0,-27578000.0,-36617000.0,-845000.0,7119000.0,47222000.0,29838000.0,-3164000.0,35293000.0,-13809000.0,-3164000.0,35293000.0,-13809000.0
TI.TO,Titan Mining Corporation,Basic Materials,62061000.0,55594000.0,32638000.0,15667000.0,7257000.0,-2089000.0,65999000.0,77625000.0,78896000.0,10513000.0,17023000.0,17641000.0,10513000.0,17023000.0,17641000.0
X.TO,TMX Group Limited,Financial Services,1116600000.0,980700000.0,865100000.0,524900000.0,444100000.0,441400000.0,64337400000.0,55983100000.0,63199400000.0,4321700000.0,4207400000.0,3706100000.0,4321700000.0,4207400000.0,3706100000.0
TPZ.TO,Topaz Energy Corp.,Energy,356735000.0,198614000.0,89643000.0,317878000.0,165017000.0,83642000.0,1835732000.0,1611752000.0,1008546000.0,1362294000.0,1324925000.0,1005724000.0,1362294000.0,1324925000.0,1005724000.0
TXG.TO,Torex Gold Resources Inc.,Basic Materials,868500000.0,855800000.0,789200000.0,408100000.0,330000000.0,342100000.0,1593300000.0,1358900000.0,1252400000.0,1290100000.0,1100400000.0,946100000.0,1290100000.0,1100400000.0,946100000.0
TIH.TO,Toromont Industries Ltd.,Industrials,4230736000.0,3886537000.0,3478897000.0,216953000.0,542724000.0,349028000.0,4182125000.0,3583796000.0,3346792000.0,2325359000.0,1953329000.0,1698652000.0,2325359000.0,1953329000.0,1698652000.0
TD.TO,The Toronto-Dominion Bank,Financial Services,52929000000.0,45762000000.0,42266000000.0,-65302000000.0,38949000000.0,50129000000.0,1957024000000.0,1917528000000.0,1728672000000.0,112107000000.0,111383000000.0,99818000000.0,112107000000.0,111383000000.0,99818000000.0
TOT.TO,Total Energy Services Inc.,Energy,759813000.0,431576000.0,365750000.0,143401000.0,89575000.0,86122000.0,878615000.0,813522000.0,849579000.0,522023000.0,493437000.0,510987000.0,522023000.0,493437000.0,510987000.0
TXP.TO,Touchstone Exploration Inc.,Energy,42986000.0,29608000.0,19713000.0,5752000.0,1611000.0,2296000.0,147877000.0,143020000.0,104552000.0,78380000.0,67558000.0,60365000.0,78380000.0,67558000.0,60365000.0
TOU.TO,Tourmaline Oil Corp.,Energy,8677648000.0,5121598000.0,2144071000.0,4692731000.0,2847117000.0,1125136000.0,18893041000.0,15292093000.0,12790200000.0,13686853000.0,11606352000.0,9276538000.0,13686853000.0,11606352000.0,9276538000.0
TA.TO,TransAlta Corporation,Utilities,2976000000.0,2721000000.0,2101000000.0,877000000.0,1001000000.0,702000000.0,10741000000.0,9226000000.0,9747000000.0,1989000000.0,2593000000.0,3436000000.0,1989000000.0,2593000000.0,3436000000.0
